sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
1, 1, 2, 1, 1, 72057594037940348, 0 -0.162385672 0.371876478 2.38439369 2, 1 -0.162956014 0.695548832 2.38330555 2, 2 -0.162819773 1.00677025 2.37217593 2, 3 -0.178511336 1.14531434 2.35066724 2, 4 -0.321830004 0.883208454 2.36122918 2, 5 -0.356940866 0.608528435 2.36585116 2, 6 -0.345260233 0.375207126 2.30403447 2, 7 -0.327677786 0.319319814 2.30068111 2, 8 0.0295721292 0.857715011 2.37955689 2, 9 0.224055201 0.795831144 2.35691595 2, 10 0.154046386 1.00577486 2.23995113 2, 11 0.115711905 1.071473 2.22993135 2, 12 -0.234180406 0.365627795 2.34139419 2, 13 -0.237563312 0.0472082458 2.38833785 2, 14 -0.226942942 -0.329771549 2.45832729 2, 15 -0.244209036 -0.448469639 2.36534381 2, 16 -0.0857197195 0.366897404 2.35570431 2, 17 -0.0444996729 0.039005883 2.36921978 2, 18 -0.0449405052 -0.348570347 2.44672847 2, 19 -0.02334648 -0.451613218 2.35829258 2, 20 -0.162981957 0.930718422 2.37685919 2, 21 -0.327569097 0.241771102 2.2976265 2, 22 -0.282874316 0.308269083 2.27249193 2, 23 0.0710952431 1.1417973 2.22327662 2, 24 0.0877829641 1.02944136 2.2250104 2, 0 0.0480393469 -0.000960776932 0.99884361 -0.00163665717, 1 0.0376512706 -0.000943707768 0.999289155 -0.00164655852, 2 0.0270001851 0.000233826038 0.999161959 -0.0307637099, 3 0 0 0 0, 4 -0.0260433964 0.800459146 -0.597226858 0.0436687917, 5 -0.0234638564 0.872962594 -0.0596147254 -0.483561665, 6 -0.120866656 0.824761093 -0.0513017289 0.55002588, 7 -0.11205519 0.80184859 0.106159002 0.577245831, 8 0.00709220301 0.822944343 0.568076253 0.00125520362, 9 -0.57409656 0.281022727 0.140460983 0.756115139, 10 0.703253269 -0.0795787573 -0.651760161 0.272599995, 11 0.743577838 0.112571567 -0.612578452 0.243243054, 12 -0.18090874 0.706316948 -0.655775726 0.195823014, 13 0.0505848266 0.73828125 -0.0530582741 -0.670497477, 14 -0.0694497153 -0.638785481 0.0613669865 0.76378262, 15 0 0 0 0, 16 -0.120885938 0.716391325 0.674558997 -0.13092047, 17 -0.0324099921 0.671533644 0.0571720377 0.738053858, 18 0.0627926961 0.629815459 0.0759305507 0.770470023, 19 0 0 0 0, 20 0.0269917678 -0.000424995844 0.999541759 -0.0136954309, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.162444338 0.371916711 2.38462687 2, 1 -0.162987053 0.695579767 2.38343596 2, 2 -0.162829787 1.00678873 2.37221718 2, 3 -0.178603262 1.14532745 2.3507514 2, 4 -0.321880758 0.883198977 2.36130023 2, 5 -0.356776386 0.607651114 2.36587906 2, 6 -0.345260143 0.37520656 2.30403519 2, 7 -0.328421921 0.318484664 2.30006075 2, 8 0.0295718629 0.857779682 2.37969875 2, 9 0.225340426 0.801435888 2.35309744 2, 10 0.153719634 1.0061059 2.23979425 2, 11 0.116302207 1.07091272 2.22832298 2, 12 -0.234187931 0.365669191 2.34157205 2, 13 -0.237477317 0.0472236425 2.3882699 2, 14 -0.226881519 -0.3288351 2.45813227 2, 15 -0.244132414 -0.448568076 2.36533833 2, 16 -0.0858406126 0.366936862 2.35599184 2, 17 -0.0445170403 0.0392274074 2.36910439 2, 18 -0.0449313372 -0.348368824 2.44663215 2, 19 -0.0230176337 -0.451760232 2.35732579 2, 20 -0.162996575 0.930740297 2.37691998 2, 21 -0.328737468 0.239665806 2.29663205 2, 22 -0.284178197 0.315592319 2.27176547 2, 23 0.0714805126 1.14381075 2.22435856 2, 24 0.0871707723 1.02988815 2.22490263 2, 0 0.0484427921 -0.000926526845 0.998823941 -0.0017969379, 1 0.0378933325 -0.000907500973 0.999279737 -0.00180662109, 2 0.0270754844 0.0002582538 0.999155879 -0.0308938567, 3 0 0 0 0, 4 -0.0259123873 0.800489485 -0.597184181 0.0437746421, 5 -0.0234405231 0.871616185 -0.0589899905 -0.486061633, 6 -0.11980205 0.810486317 -0.0548616126 0.570744872, 7 -0.113618962 0.788789392 0.0940345973 0.596707284, 8 0.00732235517 0.822881579 0.568164289 0.00126888568, 9 -0.586778641 0.283585608 0.136251837 0.746127009, 10 0.706518292 -0.0749661401 -0.647388399 0.275862813, 11 0.744350016 0.102073416 -0.611516774 0.248135671, 12 -0.181094602 0.706199646 -0.655724466 0.196245134, 13 0.0504200272 0.738562465 -0.0526737832 -0.670230508, 14 -0.0694839209 -0.638743997 0.0614125393 0.763810515, 15 0 0 0 0, 16 -0.120670781 0.716419458 0.674572825 -0.130893603, 17 -0.0329802968 0.671206892 0.0568430759 0.738351226, 18 0.0627357736 0.629382491 0.0760014951 0.770821393, 19 0 0 0 0, 20 0.0270677283 -0.000395165291 0.999537587 -0.0138447117, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.1624621 0.371869057 2.384727 2, 1 -0.163020402 0.695530832 2.38352036 2, 2 -0.162873015 1.006742 2.37227082 2, 3 -0.17857857 1.14531338 2.35088921 2, 4 -0.322152525 0.883200943 2.361516 2, 5 -0.356664181 0.607418478 2.36589146 2, 6 -0.345359176 0.374932289 2.30420947 2, 7 -0.328776985 0.319487572 2.29957843 2, 8 0.0294446703 0.857850909 2.37985516 2, 9 0.225741997 0.804104209 2.3520515 2, 10 0.153776899 1.00658655 2.23983479 2, 11 0.119735926 1.07285273 2.22753644 2, 12 -0.23418127 0.365637004 2.34163904 2, 13 -0.237639129 0.0471936613 2.38844323 2, 14 -0.226754695 -0.329452872 2.4582119 2, 15 -0.24424684 -0.448581815 2.36499882 2, 16 -0.0858901888 0.366875112 2.35612464 2, 17 -0.0445348844 0.0392780118 2.36911845 2, 18 -0.0448498763 -0.348589301 2.44653606 2, 19 -0.023480244 -0.451949507 2.35866141 2, 20 -0.163038224 0.930692673 2.37698245 2, 21 -0.327235192 0.240336254 2.29857039 2, 22 -0.284990042 0.30809316 2.27294755 2, 23 0.0733360797 1.14280725 2.21875811 2, 24 0.0916007161 1.02927697 2.22508526 2, 0 0.0486803614 -0.000952190894 0.998812318 -0.0018198319, 1 0.0379384309 -0.000932569208 0.999277949 -0.00182996434, 2 0.0269250926 0.000250971643 0.999158144 -0.0309509058, 3 0 0 0 0, 4 -0.0254843757 0.800310731 -0.597463906 0.0434760079, 5 -0.0235148091 0.87075758 -0.0581222028 -0.487698913, 6 -0.119022928 0.807982624 -0.0555580296 0.574378788, 7 -0.119763248 0.785536826 0.0902687907 0.600366652, 8 0.00757681066 0.822769284 0.568323553 0.00131009088, 9 -0.592309892 0.283874393 0.135435954 0.741782665, 10 0.717414558 -0.0782736987 -0.634769261 0.276147544, 11 0.755979121 0.0799413845 -0.606058002 0.234091327, 12 -0.181266412 0.706090569 -0.655745566 0.196408525, 13 0.0503782779 0.738724947 -0.0529646873 -0.670031607, 14 -0.0695236251 -0.637914002 0.0610600859 0.764528573, 15 0 0 0 0, 16 -0.120557278 0.716499269 0.674518287 -0.130842328, 17 -0.0331624635 0.671020985 0.0567532368 0.738518894, 18 0.0626030937 0.630344868 0.0758473352 0.770060599, 19 0 0 0 0, 20 0.026916666 -0.000411961053 0.999541044 -0.0138908001, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.162459359 0.371912658 2.38475537 2, 1 -0.163037151 0.695533872 2.3835535 2, 2 -0.162926003 1.00669599 2.37232375 2, 3 -0.178629965 1.1453706 2.35095453 2, 4 -0.322186619 0.883164167 2.36157012 2, 5 -0.359831512 0.616028368 2.36591911 2, 6 -0.345412254 0.374563038 2.30420971 2, 7 -0.328420401 0.318671048 2.29973412 2, 8 0.0294546988 0.857933223 2.37997651 2, 9 0.225656644 0.804147303 2.3520956 2, 10 0.155614644 1.00869775 2.23990083 2, 11 0.128437281 1.07811022 2.2280581 2, 12 -0.234165564 0.365709811 2.34165692 2, 13 -0.237711966 0.0471071377 2.38882852 2, 14 -0.226714611 -0.329360247 2.45824122 2, 15 -0.244292676 -0.448417753 2.36537552 2, 16 -0.0858963877 0.366900235 2.35616136 2, 17 -0.0444994271 0.038562011 2.36941075 2, 18 -0.0449521244 -0.347918957 2.44661832 2, 19 -0.0234107636 -0.451794744 2.35841417 2, 20 -0.163079813 0.930662572 2.37703061 2, 21 -0.328893244 0.240975559 2.29704952 2, 22 -0.283826113 0.317094415 2.2724061 2, 23 0.0843867436 1.15005147 2.22401333 2, 24 0.0958504528 1.04060495 2.2197001 2, 0 0.0487497039 -0.000982154976 0.99880892 -0.00181116734, 1 0.0380158238 -0.000962639286 0.999275029 -0.00182161492, 2 0.0270114448 0.000174367859 0.999156594 -0.03092416, 3 0 0 0 0, 4 -0.0254734047 0.800327003 -0.597443461 0.0434642918, 5 -0.0244676713 0.889367938 -0.0660117939 -0.451739252, 6 -0.118445218 0.808373094 -0.0484649576 0.574591041, 7 -0.119644701 0.786245823 0.0932809338 0.599000394, 8 0.00770035572 0.82259804 0.568569303 0.00144520565, 9 -0.592716932 0.281369448 0.133117229 0.742830932, 10 0.718463838 -0.0805691704 -0.635359585 0.271360457, 11 0.757889748 0.0545022003 -0.620823264 0.192901999, 12 -0.181373313 0.705963671 -0.655846119 0.196430504, 13 0.05068231 0.738748729 -0.0534141511 -0.669946611, 14 -0.069326885 -0.637280941 0.0607020222 0.765102684, 15 0 0 0 0, 16 -0.120521411 0.716581583 0.674438298 -0.130837813, 17 -0.0328768604 0.670983136 0.0569517538 0.738550782, 18 0.0627522618 0.629932821 0.0758322403 0.770387113, 19 0 0 0 0, 20 0.0270029102 -0.000465143996 0.999539137 -0.0138593931, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.162433654 0.372052193 2.38482285 2, 1 -0.163034931 0.69563216 2.38368797 2, 2 -0.162948862 1.00675654 2.37253356 2, 3 -0.17873314 1.14522767 2.35104394 2, 4 -0.322178185 0.883190274 2.36161375 2, 5 -0.361785591 0.621484637 2.36658931 2, 6 -0.345457315 0.373554766 2.30421042 2, 7 -0.328700662 0.318728447 2.29932737 2, 8 0.0285914969 0.859697104 2.38265419 2, 9 0.224179521 0.804419816 2.35235476 2, 10 0.166836366 1.01516712 2.2409873 2, 11 0.147932366 1.0907861 2.22711229 2, 12 -0.23412469 0.365808964 2.34161425 2, 13 -0.237817094 0.046970956 2.38895607 2, 14 -0.22670576 -0.329762787 2.45829511 2, 15 -0.2442763 -0.448501229 2.36536956 2, 16 -0.0858898833 0.367153168 2.35644317 2, 17 -0.0445038788 0.0374034755 2.37006307 2, 18 -0.0450072065 -0.34782365 2.44655085 2, 19 -0.0234082751 -0.451816708 2.35838842 2, 20 -0.163096398 0.930733204 2.37722206 2, 21 -0.328670055 0.240368873 2.29699135 2, 22 -0.284111738 0.314496279 2.27198958 2, 23 0.110074878 1.15973771 2.221627 2, 24 0.119678274 1.04839015 2.22019982 2, 0 0.0498442389 -0.00101534778 0.998755038 -0.0017051195, 1 0.0402473211 -0.000998920645 0.999187827 -0.0017147949, 2 0.0304141771 3.1546926e-005 0.999062479 -0.0308072437, 3 0 0 0 0, 4 -0.0253055859 0.800355673 -0.597340763 0.0444361418, 5 -0.0241526663 0.897826374 -0.071649462 -0.433809668, 6 -0.119030483 0.813287497 -0.0439250395 0.567860782, 7 -0.122542657 0.791984439 0.0924271122 0.590932488, 8 0.0121598076 0.820761621 0.571112037 0.00578037417, 9 -0.59253031 0.27581355 0.120042272 0.747278154, 10 0.754665792 -0.108849131 -0.600240231 0.24154295, 11 0.78679049 0.00259984611 -0.59877032 0.149760157, 12 -0.181805968 0.706010759 -0.655558586 0.196820647, 13 0.0507451966 0.73947531 -0.0536621884 -0.669120014, 14 -0.0693283081 -0.637223661 0.0604975335 0.765166402, 15 0 0 0 0, 16 -0.119855411 0.716303408 0.675042987 -0.129850224, 17 -0.032410901 0.670192599 0.05707651 0.739279211, 18 0.0624028817 0.629642308 0.075365074 0.770698667, 19 0 0 0 0, 20 0.0304083489 -0.000548704469 0.999442995 -0.013737116, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.162455335 0.37213254 2.38494372 2, 1 -0.163088471 0.695648074 2.38384795 2, 2 -0.163041905 1.0066967 2.37273288 2, 3 -0.178814992 1.14521849 2.35116982 2, 4 -0.322352707 0.883036077 2.36170673 2, 5 -0.362022072 0.622283936 2.36676073 2, 6 -0.345502168 0.373555958 2.30420995 2, 7 -0.329189181 0.317957163 2.29958916 2, 8 0.0275060125 0.861487746 2.38510537 2, 9 0.222627535 0.805232406 2.35296035 2, 10 0.201545268 1.01873696 2.24348211 2, 11 0.185058206 1.09912777 2.22744608 2, 12 -0.234120667 0.365830421 2.34161973 2, 13 -0.238008514 0.0467632525 2.38931727 2, 14 -0.226717874 -0.330057859 2.45833731 2, 15 -0.244425774 -0.448542953 2.36501312 2, 16 -0.0859765857 0.367320955 2.35680413 2, 17 -0.0445035808 0.0374603905 2.37011981 2, 18 -0.0450035222 -0.347813755 2.44656324 2, 19 -0.0233843904 -0.451819032 2.35836267 2, 20 -0.163179368 0.930693626 2.37741327 2, 21 -0.328773171 0.240885213 2.29620719 2, 22 -0.28590557 0.3142443 2.27435732 2, 23 0.154435843 1.17071319 2.21662593 2, 24 0.154765353 1.06165779 2.22250009 2, 0 0.0510613918 -0.00106371602 0.998693585 -0.00164135464, 1 0.042377241 -0.00104940659 0.999099851 -0.00165054016, 2 0.0334845819 -0.0001275057 0.99896574 -0.0307601038, 3 0 0 0 0, 4 -0.0250142701 0.800454497 -0.597157955 0.0452681519, 5 -0.024065325 0.898341894 -0.0721059069 -0.432670236, 6 -0.118383542 0.803561091 -0.045678366 0.58153975, 7 -0.118444331 0.783348083 0.08783032 0.603839815, 8 0.0163314659 0.81875658 0.573826253 0.00971450284, 9 -0.594186723 0.259413958 0.100662 0.754661381, 10 0.762647152 -0.15585719 -0.601315141 0.180271626, 11 0.791853607 -0.0176404268 -0.594711185 0.137751147, 12 -0.182236075 0.706114113 -0.655185699 0.197292939, 13 0.0509756915 0.740270078 -0.0541508459 -0.668183625, 14 -0.0691985935 -0.636810243 0.0600580424 0.765556812, 15 0 0 0 0, 16 -0.119100735 0.716143429 0.675532639 -0.12887688, 17 -0.0328764729 0.669263721 0.0567650124 0.74012351, 18 0.0623526722 0.629599392 0.0753200203 0.770742297, 19 0 0 0 0, 20 0.0334808156 -0.000651402515 0.99934566 -0.0136701614, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.162502214 0.372221947 2.38505077 2, 1 -0.163125083 0.695683479 2.38394165 2, 2 -0.163067237 1.00669384 2.37280059 2, 3 -0.179275468 1.14541948 2.35151172 2, 4 -0.322473586 0.882968664 2.36171985 2, 5 -0.362508863 0.623083055 2.36665058 2, 6 -0.345678061 0.373513967 2.30420971 2, 7 -0.329646975 0.319526285 2.29953861 2, 8 0.0270574186 0.861845672 2.38498902 2, 9 0.222357571 0.806438744 2.35321856 2, 10 0.241518781 1.03128946 2.24145293 2, 11 0.231000051 1.10743594 2.2256484 2, 12 -0.234134018 0.365869701 2.34165525 2, 13 -0.238190308 0.046682477 2.38960171 2, 14 -0.226517558 -0.335604131 2.45914817 2, 15 -0.244788185 -0.448354512 2.36485076 2, 16 -0.0860623345 0.367458522 2.35698128 2, 17 -0.0445788652 0.0375253782 2.37018633 2, 18 -0.0450356714 -0.347748905 2.44650888 2, 19 -0.0231902823 -0.451864809 2.35741758 2, 20 -0.163207769 0.930698574 2.37748861 2, 21 -0.329206258 0.241215378 2.29932737 2, 22 -0.285186857 0.309279144 2.27241659 2, 23 0.213189662 1.17868781 2.21205449 2, 24 0.195511043 1.07871938 2.22056246 2, 0 0.0515598506 -0.00104992779 0.998667955 -0.0016625264, 1 0.0425632335 -0.00103491149 0.999091804 -0.00167191506, 2 0.0333504304 -0.000104905033 0.998968601 -0.030813897, 3 0 0 0 0, 4 -0.025139384 0.800523221 -0.597053468 0.0453633405, 5 -0.0243094265 0.900320053 -0.072973825 -0.428377837, 6 -0.118096977 0.802430332 -0.045153141 0.583197892, 7 -0.120893687 0.781668663 0.0878065452 0.605531931, 8 0.0160426386 0.818496466 0.574210763 0.00938782655, 9 -0.598343313 0.236798048 0.0846237168 0.760756731, 10 0.757759392 -0.20219554 -0.610115349 0.112592638, 11 0.784617484 -0.0388447791 -0.607884884 0.115509354, 12 -0.182473794 0.706210375 -0.654895961 0.197690561, 13 0.051091671 0.740589142 -0.0545532182 -0.667788386, 14 -0.0689099953 -0.635246277 0.0595591851 0.76692009, 15 0 0 0 0, 16 -0.118906185 0.715998411 0.675768375 -0.128625989, 17 -0.0330220498 0.668885827 0.0566231608 0.740469575, 18 0.0622019246 0.629475713 0.0752492845 0.770862341, 19 0 0 0 0, 20 0.0333467424 -0.000633500516 0.999349594 -0.0137116043, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037940348, 0 -0.162493691 0.372276664 2.38513756 2, 1 -0.163187891 0.69571358 2.38407588 2, 2 -0.163237602 1.00668812 2.37299252 2, 3 -0.179622293 1.14518189 2.35179448 2, 4 -0.322538972 0.882938147 2.36177063 2, 5 -0.363378376 0.624207437 2.36619377 2, 6 -0.345680237 0.373497605 2.30413127 2, 7 -0.329854459 0.318796873 2.29744029 2, 8 0.026335353 0.862375438 2.38485885 2, 9 0.222378105 0.810279131 2.35292387 2, 10 0.27866894 1.02701402 2.24187016 2, 11 0.282898456 1.11234474 2.22518778 2, 12 -0.234126985 0.365882427 2.34165692 2, 13 -0.238257244 0.0467477106 2.38956785 2, 14 -0.226805776 -0.336105168 2.45911407 2, 15 -0.244553715 -0.44851926 2.36472678 2, 16 -0.0860607028 0.367574364 2.35723639 2, 17 -0.0445377417 0.0374693349 2.37024045 2, 18 -0.0451042019 -0.347778887 2.44666743 2, 19 -0.023198206 -0.451835871 2.35741758 2, 20 -0.163348123 0.930702984 2.37766743 2, 21 -0.328512937 0.24025324 2.29588032 2, 22 -0.286967933 0.324906647 2.2736156 2, 23 0.280201972 1.18254924 2.21156168 2, 24 0.244097486 1.08574843 2.21552658 2, 0 0.0524071157 -0.00115769356 0.998623908 -0.00158273836, 1 0.0429198891 -0.00114260882 0.999076605 -0.00159366254, 2 0.0332072228 -0.000294726779 0.998976052 -0.0307255983, 3 0 0 0 0, 4 -0.0255460925 0.800607681 -0.596913218 0.0454906635, 5 -0.0250800215 0.905128419 -0.0745395422 -0.417800695, 6 -0.117309771 0.793372393 -0.0449870154 0.595629811, 7 -0.133124411 0.773490548 0.0725064725 0.61541301, 8 0.0154605163 0.818084419 0.574819863 0.00900321174, 9 -0.605960488 0.225044042 0.0772097036 0.759082198, 10 0.742889166 -0.251296878 -0.617794573 0.0574058741, 11 0.770035028 -0.0899847671 -0.63021946 0.0420971252, 12 -0.182792321 0.706299901 -0.654632986 0.197947323, 13 0.0510296412 0.741167188 -0.0545669459 -0.667150319, 14 -0.0687436089 -0.637213171 0.0594804771 0.765307724, 15 0 0 0 0, 16 -0.118323132 0.715887427 0.676130116 -0.127878413, 17 -0.0333016217 0.668238997 0.0563806333 0.741059303, 18 0.0623789094 0.629284859 0.0752807781 0.771000743, 19 0 0 0 0, 20 0.0332016684 -0.00079329306 0.999355614 -0.0136129828, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037940348, 0 -0.162498519 0.372346789 2.38522243 2, 1 -0.163249448 0.695750177 2.38419843 2, 2 -0.163372979 1.00668311 2.37315416 2, 3 -0.18003726 1.14517188 2.3518455 2, 4 -0.32262072 0.882940054 2.36182094 2, 5 -0.363684565 0.624369442 2.36617422 2, 6 -0.345894784 0.372975618 2.30366993 2, 7 -0.330210388 0.319010526 2.29755712 2, 8 0.0258552581 0.862630248 2.38477182 2, 9 0.222052887 0.811433434 2.35279989 2, 10 0.32185635 1.0254451 2.24189615 2, 11 0.338164061 1.11019039 2.22734475 2, 12 -0.234122157 0.365912914 2.34168792 2, 13 -0.238382161 0.0467045717 2.38963342 2, 14 -0.226708934 -0.336162746 2.45910096 2, 15 -0.244411066 -0.448652923 2.3641243 2, 16 -0.0860770568 0.36767745 2.35735989 2, 17 -0.0446624868 0.0382197127 2.37015367 2, 18 -0.0451371409 -0.34776473 2.44668341 2, 19 -0.0231955927 -0.451819181 2.35741758 2, 20 -0.163463935 0.930709422 2.37782049 2, 21 -0.33053571 0.23889181 2.29633713 2, 22 -0.283426106 0.300209165 2.26888895 2, 23 0.351619035 1.19306183 2.2280736 2, 24 0.295491785 1.09849691 2.2166431 2, 0 0.0527229309 -0.00124282693 0.998607278 -0.00151975325, 1 0.0430191606 -0.00122800423 0.999072313 -0.00153175532, 2 0.0330869704 -0.000417715637 0.998981714 -0.030669786, 3 0 0 0 0, 4 -0.0258624535 0.800621688 -0.596872866 0.0455946289, 5 -0.0253627617 0.905272782 -0.0749225914 -0.417402238, 6 -0.11933966 0.81463325 -0.040878471 0.566091478, 7 -0.127237737 0.796121061 0.0805828944 0.58609575, 8 0.0149932792 0.817934275 0.575050414 0.00869821105, 9 -0.609078765 0.21006979 0.0657155514 0.761954844, 10 0.742710531 -0.299286336 -0.598785996 -0.0162508264, 11 0.770221174 -0.124251038 -0.625233531 -0.0201001335, 12 -0.183012888 0.706407428 -0.654399037 0.198132992, 13 0.0509409271 0.741390765 -0.0547221079 -0.666895926, 14 -0.0689200386 -0.637514889 0.0591912791 0.765062869, 15 0 0 0 0, 16 -0.11822892 0.715785205 0.67628938 -0.127695948, 17 -0.0334778205 0.667993367 0.056136474 0.741291344, 18 0.062249165 0.629248023 0.075317435 0.771037757, 19 0 0 0 0, 20 0.0330798253 -0.000904950022 0.999360502 -0.013546153, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.16261968 0.372455806 2.38540673 2, 1 -0.163344488 0.695794821 2.38436317 2, 2 -0.163436383 1.00667942 2.37327695 2, 3 -0.180645883 1.14503098 2.35226679 2, 4 -0.32291472 0.882860124 2.3619945 2, 5 -0.361059278 0.613187253 2.36518645 2, 6 -0.34600091 0.372688204 2.30355597 2, 7 -0.330863595 0.318778813 2.29677582 2, 8 0.0253667403 0.86331588 2.38586092 2, 9 0.224958241 0.816674232 2.35028195 2, 10 0.357609779 1.02030158 2.24519467 2, 11 0.390748769 1.09494662 2.22896004 2, 12 -0.234207019 0.365979433 2.34187078 2, 13 -0.238393411 0.0467056185 2.38961792 2, 14 -0.226724967 -0.336176544 2.45909548 2, 15 -0.244479015 -0.448683888 2.36366725 2, 16 -0.0862183198 0.367813766 2.35750484 2, 17 -0.0446840189 0.0382278599 2.37019444 2, 18 -0.0451424755 -0.347761214 2.44669127 2, 19 -0.0232161134 -0.451776862 2.35741758 2, 20 -0.163535759 0.93071568 2.3779552 2, 21 -0.328321278 0.240561381 2.29310179 2, 22 -0.286295861 0.30811125 2.27091861 2, 23 0.42187807 1.16508043 2.21870089 2, 24 0.344600379 1.09727621 2.22212505 2, 0 0.0526173562 -0.00120416691 0.998612821 -0.00155250239, 1 0.0435379483 -0.0011900051 0.999049842 -0.00156338396, 2 0.0342460945 -0.000400740973 0.99894011 -0.0307532679, 3 0 0 0 0, 4 -0.0254696496 0.80064559 -0.59684068 0.0458164439, 5 -0.0260689519 0.892681301 -0.0654402897 -0.44514963, 6 -0.119308054 0.805852532 -0.0480074324 0.577981532, 7 -0.130494818 0.787341535 0.0712660253 0.598318994, 8 0.016855333 0.817182779 0.576040506 0.0102758557, 9 -0.620908856 0.197098032 0.0486933887 0.757135034, 10 0.774543643 -0.324859053 -0.533494532 -0.0996606499, 11 0.793517232 -0.200021967 -0.564401925 -0.108499259, 12 -0.183012173 0.706549585 -0.65419662 0.198295131, 13 0.0507753305 0.74133122 -0.0544298515 -0.666998684, 14 -0.0689289272 -0.63762027 0.0591931827 0.764974117, 15 0 0 0 0, 16 -0.118420303 0.71563673 0.676377892 -0.127881184, 17 -0.0336978361 0.668061614 0.056120988 0.741220951, 18 0.062212579 0.629311562 0.0752931014 0.770991325, 19 0 0 0 0, 20 0.0342406966 -0.000873652694 0.999320567 -0.013612844, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
