sep=, 
DontCare_frames, User0-Seq0Gest0, User0-Seq0Gest1, User0-Seq0Gest2, User0-Seq0Gest3, User0-Seq1Gest0, User0-Seq1Gest1, User0-Seq1Gest2, User0-Seq1Gest3, User0-Seq2Gest0, User0-Seq2Gest1, User0-Seq2Gest2, User0-Seq2Gest3, User0-Seq3Gest0, User0-Seq3Gest1, User0-Seq3Gest2, User0-Seq3Gest3, User0-Seq4Gest0, User0-Seq4Gest1, User0-Seq4Gest2, User0-Seq4Gest3, MeanUser0-Gest0, MeanUser0-Gest1, MeanUser0-Gest2, MeanUser0-Gest3, GlobalMeanUser0, User1-Seq0Gest0, User1-Seq0Gest1, User1-Seq0Gest2, User1-Seq0Gest3, User1-Seq1Gest0, User1-Seq1Gest1, User1-Seq1Gest2, User1-Seq1Gest3, User1-Seq2Gest0, User1-Seq2Gest1, User1-Seq2Gest2, User1-Seq2Gest3, User1-Seq3Gest0, User1-Seq3Gest1, User1-Seq3Gest2, User1-Seq3Gest3, User1-Seq4Gest0, User1-Seq4Gest1, User1-Seq4Gest2, User1-Seq4Gest3, MeanUser1-Gest0, MeanUser1-Gest1, MeanUser1-Gest2, MeanUser1-Gest3, GlobalMeanUser1, User2-Seq0Gest0, User2-Seq0Gest1, User2-Seq0Gest2, User2-Seq0Gest3, User2-Seq1Gest0, User2-Seq1Gest1, User2-Seq1Gest2, User2-Seq1Gest3, User2-Seq2Gest0, User2-Seq2Gest1, User2-Seq2Gest2, User2-Seq2Gest3, User2-Seq3Gest0, User2-Seq3Gest1, User2-Seq3Gest2, User2-Seq3Gest3, User2-Seq4Gest0, User2-Seq4Gest1, User2-Seq4Gest2, User2-Seq4Gest3, MeanUser2-Gest0, MeanUser2-Gest1, MeanUser2-Gest2, MeanUser2-Gest3, GlobalMeanUser2, User3-Seq0Gest0, User3-Seq0Gest1, User3-Seq0Gest2, User3-Seq0Gest3, User3-Seq1Gest0, User3-Seq1Gest1, User3-Seq1Gest2, User3-Seq1Gest3, User3-Seq2Gest0, User3-Seq2Gest1, User3-Seq2Gest2, User3-Seq2Gest3, User3-Seq3Gest0, User3-Seq3Gest1, User3-Seq3Gest2, User3-Seq3Gest3, User3-Seq4Gest0, User3-Seq4Gest1, User3-Seq4Gest2, User3-Seq4Gest3, MeanUser3-Gest0, MeanUser3-Gest1, MeanUser3-Gest2, MeanUser3-Gest3, GlobalMeanUser3, User4-Seq0Gest0, User4-Seq0Gest1, User4-Seq0Gest2, User4-Seq0Gest3, User4-Seq1Gest0, User4-Seq1Gest1, User4-Seq1Gest2, User4-Seq1Gest3, User4-Seq2Gest0, User4-Seq2Gest1, User4-Seq2Gest2, User4-Seq2Gest3, User4-Seq3Gest0, User4-Seq3Gest1, User4-Seq3Gest2, User4-Seq3Gest3, User4-Seq4Gest0, User4-Seq4Gest1, User4-Seq4Gest2, User4-Seq4Gest3, MeanUser4-Gest0, MeanUser4-Gest1, MeanUser4-Gest2, MeanUser4-Gest3, GlobalMeanUser4, User5-Seq0Gest0, User5-Seq0Gest1, User5-Seq0Gest2, User5-Seq0Gest3, User5-Seq1Gest0, User5-Seq1Gest1, User5-Seq1Gest2, User5-Seq1Gest3, User5-Seq2Gest0, User5-Seq2Gest1, User5-Seq2Gest2, User5-Seq2Gest3, User5-Seq3Gest0, User5-Seq3Gest1, User5-Seq3Gest2, User5-Seq3Gest3, User5-Seq4Gest0, User5-Seq4Gest1, User5-Seq4Gest2, User5-Seq4Gest3, MeanUser5-Gest0, MeanUser5-Gest1, MeanUser5-Gest2, MeanUser5-Gest3, GlobalMeanUser5, GlobalMeanGesture0, GlobalMeanGesture1, GlobalMeanGesture2, GlobalMeanGesture3, GlobalScore
0, 0.83871, 0.5625, 0.714286, 0.803571, 0.7, 0.7, 0.8, 0.707317, 0.707317, 0.473684, 0.75, 0.864407, 0.62, 0.777778, 0.8, 0.736842, 0.651163, 0, 0.571429, 0.621622, 0.703438, 0.502792, 0.727143, 0.746752, 0.670031, 0, 0.588235, 0.833333, 0, 0.957143, 0, 0.8, 0.95, 0.445946, 0.666667, 0.428571, 0.965116, 0.397059, 0.571429, 0.75, 0.931507, 0.915789, 0, 0.428571, 0.882353, 0.543187, 0.365266, 0.648095, 0.745795, 0.575586, 0.860759, 0.538462, 0.25, 0.875, 0.857143, 0.586207, 0.857143, 0.909091, 0.476636, 0.176471, 0.25, 0.883721, 0.859649, 0.583333, 0.125, 0.847826, 0, 0.511628, 0.181818, 0.813953, 0.610837, 0.47922, 0.332792, 0.865918, 0.572192, 0.808989, 0.5, 0.7, 0.929825, 0.829545, 0.733333, 0.625, 0.822581, 0.820225, 0.241379, 0.428571, 0.696429, 0.808989, 0, 0, 0.875, 0.822222, 0.705882, 0.583333, 0.830508, 0.817994, 0.436119, 0.467381, 0.830868, 0.638091, 0.896104, 0.625, 0.466667, 0.901639, 0.265306, 0.875, 0.454545, 0.682927, 0.745455, 0, 0.555556, 0.942308, 0.852273, 0.190476, 0.571429, 0.593407, 0.594937, 0.833333, 0.125, 0.915493, 0.670815, 0.504762, 0.434639, 0.807155, 0.604343, 0.710145, 0.666667, 0.5, 0.772727, 0.626506, 0.684211, 0.625, 0.636364, 0.469027, 0.789474, 0, 0.676471, 0.8, 0.857143, 0.6, 0, 0.702703, 0.888889, 0.4, 0.307018, 0.661676, 0.777277, 0.425, 0.478516, 0.585617, 0.667991, 0.510906, 0.505842, 0.745834, 0.607643
1, 0.85, 0.571429, 0.777778, 0.796296, 0.708333, 0.75, 0.611111, 0.692308, 0.717949, 0.470588, 0, 0.859649, 0.638298, 0.857143, 0, 0.722222, 0.658537, 0, 0, 0.6, 0.714623, 0.529832, 0.277778, 0.734095, 0.564082, 0, 0.533333, 0.5, 0, 0.970588, 0, 1, 0.948718, 0.444444, 0.692308, 0, 0.964286, 0.409091, 0.583333, 0.666667, 0.929577, 0.924731, 0, 0, 0.891566, 0.549771, 0.361795, 0.433333, 0.74683, 0.522932, 0.857143, 0.5, 0.1, 0.873737, 0.854545, 0.555556, 0.8, 0.904762, 0.47619, 0.15625, 0.166667, 0.878049, 0.857143, 0.545455, 0.0714286, 0.840909, 0, 0.512195, 0.222222, 0.804878, 0.609004, 0.453891, 0.272063, 0.860467, 0.548856, 0.804598, 0.5, 0.9, 0.945455, 0.835294, 0.692308, 0.461538, 0.816667, 0.816092, 0.185185, 0.416667, 0.685185, 0.804598, 0, 0.272727, 0.887097, 0.818182, 0.733333, 0.444444, 0.842105, 0.815753, 0.422165, 0.499075, 0.835302, 0.643074, 0.906667, 0.681818, 0.384615, 0.898305, 0.256944, 0.928571, 0.444444, 0.666667, 0.754717, 0, 0.428571, 0.94, 0.860465, 0.157895, 0.4, 0.597701, 0.576923, 0.9, 0, 0.913043, 0.671143, 0.533657, 0.331526, 0.803143, 0.584867, 0.701493, 0.636364, 0.909091, 0.761905, 0.6375, 0.647059, 0.333333, 0.619048, 0.472727, 0.764706, 0.384615, 0.65625, 0.810345, 0.833333, 0.222222, 0, 0.697248, 1, 0.5, 0.303571, 0.663862, 0.776292, 0.469852, 0.468155, 0.59454, 0.670693, 0.512939, 0.380605, 0.741332, 0.576392
3, 0.877193, 0.636364, 0.8, 0.82, 0.733333, 0.833333, 0.6, 0.714286, 0.75, 0.5, 0, 0.886792, 0.659091, 1, 0, 0.75, 0.684211, 0, 0, 0.612903, 0.740766, 0.593939, 0.28, 0.756796, 0.592875, 0, 0.545455, 0.191781, 0, 0.984848, 0, 0.176991, 0.972973, 0.449275, 0.8, 0.181818, 0.975309, 0.421875, 0.666667, 0.147887, 0.941176, 0.944444, 0, 0.189542, 0.9125, 0.560089, 0.402424, 0.177604, 0.760392, 0.475127, 0.876712, 0.47619, 0.666667, 0.881443, 0.867925, 0.565217, 0.272727, 0.947368, 0.480392, 0.133333, 0, 0.918919, 0.87037, 0.526316, 0.307692, 0.875, 0, 0.526316, 0, 0.837838, 0.61908, 0.445475, 0.249417, 0.892114, 0.551521, 0.839506, 0.454545, 1, 0.961538, 0.8625, 0.7, 0.4, 0.839286, 0.841463, 0.125, 0.333333, 0.7, 0.839506, 0, 0.222222, 0.915254, 0.843373, 0.75, 0.428571, 0.87037, 0.84527, 0.405909, 0.476825, 0.85729, 0.646324, 0.930556, 0.75, 0.333333, 0.927273, 0.25, 1, 0.555556, 0.685714, 0.78, 0, 0.4, 0.978261, 0.86747, 0.125, 0.166667, 0.609756, 0.581081, 1, 1, 0.938462, 0.681821, 0.575, 0.491111, 0.827893, 0.643956, 0.714286, 0.666667, 1, 0.769231, 0.636364, 0.692308, 0.4, 0.631579, 0.476636, 0.785714, 0.3, 0.678571, 0.836364, 0.888889, 0.166667, 0, 0.704762, 1, 0.5, 0.302752, 0.673682, 0.806715, 0.473333, 0.476427, 0.607539, 0.686785, 0.538244, 0.358049, 0.761818, 0.586224
5, 0.923077, 0.75, 0.7, 0.847826, 0.8, 1, 0.625, 0.71875, 0.78125, 0.545455, 0, 0.9, 0.7, 1, 0.0606061, 0.785714, 0.757576, 0, 0.102564, 0.62963, 0.792381, 0.659091, 0.297634, 0.776384, 0.631372, 0, 0.571429, 0.181818, 0, 1, 0, 0.163636, 1, 0.454545, 1, 0.172185, 0.987179, 0.435484, 0.666667, 0.136691, 0.953846, 0.965517, 0, 0.18, 0.87013, 0.571109, 0.447619, 0.166866, 0.762231, 0.486956, 0.898551, 0.4, 0.625, 0.889474, 0.882353, 0.928571, 1, 0.971429, 0.484848, 1, 0, 0.941176, 0.87619, 1, 0, 0.916667, 0, 0.862069, 0, 0.878788, 0.628389, 0.838128, 0.325, 0.919507, 0.677756, 0.857143, 0.375, 0.95, 0.979592, 0.881579, 0.714286, 0.111111, 0.865385, 0.858974, 0.047619, 0, 0.717391, 0.857143, 0, 0.195122, 0.946429, 0.860759, 0.777778, 0.875, 0.882353, 0.86312, 0.382937, 0.426247, 0.87823, 0.637633, 0.956522, 0.777778, 0.8125, 0.960784, 0.242647, 1, 0.416667, 0.709677, 0.787234, 0, 0.578947, 1, 0.875, 0.0769231, 1, 0.623377, 0.585714, 1, 0.225806, 0.967213, 0.689423, 0.57094, 0.606784, 0.85221, 0.679839, 0.728814, 0.714286, 0, 0.777778, 0.635135, 0.777778, 0.777778, 0.647059, 0.471154, 0.818182, 0, 0.708333, 0.865385, 1, 0.333333, 0, 0.712871, 1, 0.4, 0.301887, 0.682672, 0.862049, 0.302222, 0.487011, 0.583489, 0.704516, 0.626794, 0.354125, 0.779262, 0.616174
7, 0.938776, 0.8, 0.714286, 0.880952, 0.810811, 1, 0.75, 0.724138, 0.793103, 0.5, 0, 0.914894, 0.72973, 1, 0.0333333, 0.8, 0.8, 0, 0.0571429, 0.652174, 0.814484, 0.66, 0.310952, 0.794432, 0.644967, 0, 0.5, 0.171429, 0, 1, 0, 0.149533, 1, 0.453125, 1, 0.162162, 1, 0.433333, 0.666667, 0.125, 0.967742, 0.97619, 0, 0.170068, 0.891892, 0.57253, 0.433333, 0.155638, 0.771927, 0.483357, 0.909091, 0.416667, 0.666667, 0.897849, 0.897959, 1, 1, 1, 0.489583, 1, 0, 0.967742, 0.882353, 1, 0, 0.939394, 0, 0.923077, 0, 0.9, 0.635797, 0.867949, 0.333333, 0.940997, 0.694519, 0.864865, 0.6, 0.944444, 1, 0.890411, 1, 0.0847458, 0.895833, 0.878378, 1, 0, 0.738095, 0.876712, 0.8, 0.177215, 0.981132, 0.868421, 1, 0.928571, 0.895833, 0.875758, 0.88, 0.426995, 0.902179, 0.771233, 0.969697, 0.8125, 1, 0.979167, 0.234848, 1, 0.428571, 0.714286, 0.795455, 0, 1, 1, 0.883117, 0, 0.4, 0.638889, 0.590909, 1, 0.333333, 0.982759, 0.694805, 0.5625, 0.632381, 0.86302, 0.688177, 0.745455, 0.8, 0, 0.787879, 0.633803, 0.833333, 0.833333, 0.666667, 0.465347, 0.875, 0, 0.714286, 0.877551, 1, 0, 0, 0.721649, 1, 0.5, 0.291262, 0.688761, 0.901667, 0.266667, 0.492019, 0.587278, 0.713689, 0.717575, 0.354328, 0.794095, 0.644922
9, 0.956522, 1, 1, 0.921053, 0.823529, 0, 0.5, 0.730769, 0.807692, 0.4, 0, 0.931818, 0.764706, 0, 0, 0.818182, 0.814815, 0, 0, 0.65, 0.833453, 0.28, 0.3, 0.810364, 0.555954, 0, 0, 0.160584, 0, 1, 0, 0.134615, 1, 0.451613, 1, 0.151724, 1, 0.431034, 0, 0.112782, 0.983051, 0.987654, 0, 0.159722, 0.902778, 0.57406, 0.2, 0.143886, 0.777166, 0.423778, 0.920635, 0.777778, 0.75, 0.906593, 0.914894, 0.95, 1, 1, 0.494624, 0.941176, 0, 1, 0.888889, 0.285714, 0, 0.966667, 0, 0.491803, 0, 0.925926, 0.643808, 0.689294, 0.35, 0.959837, 0.660735, 0.873239, 0.259259, 0, 1, 0.9, 0.578947, 0, 0.911111, 0.9, 0, 0.208333, 0.763158, 0.898551, 0.785714, 0, 1, 0.876712, 0.866667, 0, 0.911111, 0.889701, 0.498118, 0.0416667, 0.917076, 0.58664, 0.984127, 0.857143, 0.916667, 1, 0.226563, 1, 0.375, 0.72, 0.804878, 0, 0.538462, 1, 0.891892, 0, 1, 0.656716, 0.596774, 1, 0.2, 1, 0.700847, 0.571429, 0.606026, 0.875343, 0.688411, 0.764706, 0.583333, 0, 0.8, 0.632353, 0.714286, 1, 0.666667, 0.459184, 0.764706, 0, 0.722222, 0.891304, 1, 0, 0, 0.731183, 0.375, 0, 0.28, 0.695746, 0.687465, 0.2, 0.493778, 0.519247, 0.722936, 0.487718, 0.273596, 0.805594, 0.572461
11, 0.976744, 0.166667, 1, 0.942857, 0.83871, 0.2, 0.333333, 0.73913, 0.826087, 1, 0, 0.951219, 0.774194, 1, 0, 0.842105, 0.833333, 0.208333, 0, 0.647059, 0.849814, 0.515, 0.266667, 0.824474, 0.613989, 0, 0.5, 0.149254, 0, 1, 0.0689655, 0.118812, 1, 0.45, 1, 0.140845, 1, 0.428571, 0.25, 0.1, 1, 1, 0.272727, 0.148936, 0.914286, 0.575714, 0.418339, 0.131569, 0.782857, 0.47712, 0.933333, 0.857143, 0.366667, 0.91573, 0.933333, 1, 0.0887097, 1, 0.5, 1, 0.168224, 1, 0.895833, 0.25, 0.69697, 1, 0, 0.491525, 0.609756, 0.958333, 0.6525, 0.719734, 0.386065, 0.974813, 0.683278, 0.882353, 0.217391, 0, 1, 0.910448, 0.6, 0, 0.928571, 0.924242, 0, 0.190476, 0.794118, 0.923077, 0.818182, 0, 1, 0.885714, 0.916667, 0, 0.928571, 0.905167, 0.510448, 0.0380952, 0.930252, 0.595991, 1, 0.511628, 0.68, 1, 0.217742, 1, 0, 0.727273, 0.815789, 0.8, 0.9375, 1, 0.901408, 0.75, 1, 0.677419, 0.603448, 1, 0.0416667, 1, 0.707678, 0.812326, 0.531833, 0.880938, 0.733194, 0.787234, 0.6, 0.659574, 0.814815, 0.630769, 0.8, 0.245614, 0.666667, 0.452632, 0.785714, 0.857143, 0.733333, 0.906977, 1, 0.176471, 0, 0.741573, 0.2, 1, 0.268041, 0.703837, 0.677143, 0.58776, 0.496571, 0.616328, 0.732451, 0.608831, 0.323665, 0.814984, 0.619983
13, 1, 0.111111, 0.923077, 0.96875, 0.857143, 0.0833333, 1, 0.75, 0.85, 1, 0, 0.973684, 0.785714, 0, 0.75, 0.875, 0.857143, 0.142857, 0, 0.642857, 0.87, 0.26746, 0.534615, 0.842058, 0.628533, 0, 0.4, 0.137405, 0, 1, 0.0384615, 0.102041, 1, 0.448276, 1, 0.129496, 1, 0.425926, 0, 0.0866142, 1, 1, 0.125, 0.137681, 0.926471, 0.57484, 0.312692, 0.118647, 0.785294, 0.447869, 0.947368, 0.909091, 0.346154, 0.925287, 0.953488, 0, 0.075, 1, 0.505747, 1, 0.153846, 1, 0.903226, 0, 0.7, 1, 0, 0.509091, 0.605263, 1, 0.661966, 0.483636, 0.376053, 0.985057, 0.626678, 0.892308, 0.157895, 0, 1, 0.921875, 0.583333, 0, 0.948718, 0.936508, 0, 0.166667, 0.806452, 0.95082, 0.875, 0, 1, 0.895522, 1, 0, 0.948718, 0.919407, 0.523246, 0.0333333, 0.940777, 0.604191, 1, 0.473684, 0.777778, 1, 0.208333, 1, 0.225806, 0.736842, 0.828571, 0.4, 0.642857, 1, 0.911765, 0.625, 0.6, 0.689655, 0.611111, 0.125, 0.208333, 1, 0.711956, 0.524737, 0.490955, 0.8853, 0.653237, 0.813953, 0.625, 0.659091, 0.833333, 0.629032, 0.857143, 0.222222, 0.666667, 0.445652, 0.818182, 0.888889, 0.75, 0.925, 1, 0.129032, 0, 0.752941, 0, 1, 0.255319, 0.713316, 0.660065, 0.579847, 0.501064, 0.613573, 0.741914, 0.461973, 0.355575, 0.823258, 0.59568
15, 1, 0.0416667, 0, 1, 0.88, 0, 0, 0.764706, 0.882353, 1, 0, 1, 0.8, 0, 0, 0.923077, 0.888889, 0.0555556, 0.119658, 0.636364, 0.890248, 0.219444, 0.0239316, 0.864829, 0.499613, 0, 0, 0.125, 0, 1, 0, 0.0842105, 1, 0.446429, 1, 0.117647, 1, 0.423077, 0, 0.0725806, 1, 1, 0, 0.125926, 0.939394, 0.573901, 0.2, 0.105073, 0.787879, 0.416713, 0.962963, 1, 0.318182, 0.929825, 0.97561, 1, 0.0603448, 1, 0.511905, 1, 0.138614, 1, 0.911111, 0.125, 0.703704, 1, 0, 0.490909, 0.6, 1, 0.672318, 0.723182, 0.364169, 0.985965, 0.686408, 0.903226, 0.0666667, 0, 1, 0.934426, 0.555556, 0, 0.972222, 0.95, 0, 0.125, 0.821429, 0.965517, 1, 0, 1, 0.90625, 1, 0, 0.972222, 0.931884, 0.524444, 0.025, 0.953175, 0.608626, 1, 0.540541, 0.791667, 1, 0.198276, 1, 0.214286, 0.75, 0.84375, 0, 0.666667, 1, 0.923077, 1, 0.625, 0.703704, 0.62, 1, 0.190476, 1, 0.717021, 0.708108, 0.497619, 0.890741, 0.703372, 0.846154, 0.666667, 0.658537, 0.857143, 0.627119, 1, 0.196078, 0.666667, 0.438202, 0.875, 0.933333, 0.777778, 0.945946, 1, 0.0714286, 0, 0.765432, 0, 1, 0.241758, 0.724571, 0.708333, 0.571875, 0.508669, 0.628362, 0.751657, 0.513919, 0.264611, 0.831876, 0.590516
17, 1, 0, 0, 1, 0.909091, 0, 0, 0.785714, 0.928571, 0, 0, 1, 0.818182, 0, 0, 1, 0.933333, 0, 0.106195, 0.625, 0.917836, 0, 0.0212389, 0.882143, 0.455304, 0, 0, 0.112, 0, 1, 0, 0.0652174, 1, 0.444444, 1, 0.105263, 1, 0.42, 0, 0.0578512, 1, 1, 0, 0.113636, 0.953125, 0.572889, 0.2, 0.0907936, 0.790625, 0.413577, 0.980392, 1, 0.277778, 0.940476, 0.987342, 0, 0.0446429, 1, 0.518519, 1, 0.122449, 1, 0.91954, 0, 0.708333, 1, 0, 0.509804, 0.59375, 1, 0.681158, 0.501961, 0.349391, 0.988095, 0.630151, 0.915254, 0, 0, 1, 0.948276, 0.5, 0, 1, 0.964912, 0, 0.0714286, 0.84, 0.981818, 1, 0, 1, 0.918033, 1, 0, 1, 0.945659, 0.5, 0.0142857, 0.968, 0.606986, 1, 0.529412, 0.809524, 1, 0.1875, 1, 0.2, 0.769231, 0.862069, 0, 0.7, 1, 0.935484, 1, 0.666667, 0.72, 0.630435, 0, 0.166667, 1, 0.723098, 0.505882, 0.508572, 0.897846, 0.658849, 0.885714, 0.666667, 0.657895, 0.888889, 0.625, 1, 0.166667, 0.666667, 0.430233, 1, 1, 0.833333, 0.970588, 0, 0, 0, 0.779221, 0, 1, 0.227273, 0.738151, 0.533333, 0.564912, 0.523232, 0.589907, 0.763132, 0.373529, 0.258199, 0.841657, 0.559129
